Scopus Source ID,Title,CiteScore,Percentile,"Citation
Count","Scholarly
Output","Percent
Cited",SNIP,SJR,RANK,"Rank
Out Of",Publisher,Type,Open Access,Scopus ASJC Code,Scopus Sub-Subject Area,Quartile,Top 10% (CiteScore Percentile),Scopus Source ID.1,Print ISSN,E-ISSN
18159,Computers and Electrical Engineering,3.02,85,2305,763,75,1.395,0.443,30,206,Elsevier Ltd,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/18159,457906,
18160,Computers and Fluids,2.72,82,2491,917,77,1.477,0.999,36,206,Elsevier Ltd,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/18160,457930,
18164,Computers and Industrial Engineering,4.68,94,5330,1138,86,1.755,1.334,12,206,Elsevier Ltd,Journal,NO,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/18164,3608352,
18300156736,Acta Scientiarum - Technology,0.47,21,89,191,30,0.363,0.17,163,206,Universidade Estadual de Maringa,Journal,YES,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/18300156736,18062563,18078664
18388,Computers in Education Journal,0.19,4,19,101,14,0.216,0.147,197,206,American Society for Engineering Education,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/18388,10693769,
19080,Computers in Industry,6.05,96,1536,254,87,2.395,1.242,7,206,Elsevier,Journal,NO,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/19080,1663615,
19148,Research Reports on Information Science and Electrical Engineering of Kyushu University,0.0,0,0,12,0,0,0.102,206,206,"Kyushu University, Faculty of Science",Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19148,13423819,
19300157037,Computer Science and Information Systems,1.07,53,169,158,53,0.63,0.216,95,206,ComSIS Consortium,Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19300157037,18200214,
19400158593,Journal of Ambient Intelligence and Humanized Computing,2.7,82,580,215,78,1.128,0.35,37,206,Springer Verlag,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19400158593,18685137,
19500157063,International Journal of Social Robotics,3.17,86,555,175,76,1.674,0.593,28,206,Springer Verlag,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19500157063,18754791,18754805
19500157821,International Arab Journal of Information Technology,0.91,46,288,317,44,1.095,0.28,110,206,Zarqa University,Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19500157821,16833198,
19600157016,Annales Mathematicae et Informaticae,0.27,8,17,64,20,0.341,0.157,188,206,Eszterhazy Karoly College,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19600157016,17875021,17876117
19600157312,Scientific Annals of Computer Science,0.24,6,6,25,16,0.395,0.229,193,206,Alexandru Ioan Cuza - University of Iasi,Journal,YES,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19600157312,18438121,22482695
19600161832,Science China Information Sciences,2.79,83,1995,714,70,1.424,0.639,35,206,Science in China Press,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19600161832,1674733X,18622836
19700170417,Journal of Information Technology and Politics,2.43,79,175,72,71,1.082,1.142,43,206,Routledge,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19700170417,19331681,1933169X
19700170610,IEEE Transactions on Smart Grid,11.91,99,10830,909,96,3.511,3.361,1,206,Institute of Electrical and Electronics Engineers Inc.,Journal,NO,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/19700170610,19493053,
19700170833,Yingyong Kexue Xuebao/Journal of Applied Sciences,0.3,11,64,213,22,0.197,0.14,182,206,Shanghai Science and Technology Press,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19700170833,2558297,
19700173238,Journal of Cellular Automata,0.79,39,58,73,48,0.97,0.198,125,206,Old City Publishing,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19700173238,15575969,15575977
19700173244,International Journal of Unconventional Computing,0.84,40,59,70,40,0.339,0.231,122,206,Old City Publishing,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19700173244,15487199,15487202
19700174607,Journal of Computational Science,3.27,87,1248,382,78,1.625,0.581,26,206,Elsevier,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19700174607,18777503,
19700174656,Automatika,0.61,29,121,197,38,0.31,0.143,146,206,Taylor and Francis Ltd.,Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19700174656,51144,
19700175752,Logical Methods in Computer Science,1.07,53,244,227,47,0.881,0.459,95,206,Technischen Universitat Braunschweig,Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19700175752,18605974,
19700177026,IEEE Embedded Systems Letters,2.31,77,194,84,63,1.09,0.4,47,206,Institute of Electrical and Electronics Engineers Inc.,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19700177026,19430663,19430671
19700181115,"ICIC Express Letters, Part B: Applications",0.12,1,127,1020,9,0.174,0.147,204,206,ICIC Express Letters Office,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19700181115,21852766,
19700181218,IEEE Latin America Transactions,1.05,50,1538,1462,50,0.606,0.337,101,206,IEEE Computer Society,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19700181218,15480992,
19700182406,International Journal of Intelligent Computing and Cybernetics,1.03,50,79,77,47,0.471,0.179,103,206,Emerald Group Publishing Ltd.,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19700182406,1756378X,
19700182903,Journal of Theoretical and Applied Information Technology,0.67,33,1295,1919,35,0.5,0.166,136,206,Little Lion Scientific,Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19700182903,19928645,18173195
19700183047,ACM Transactions on Computing Education,3.19,87,217,68,87,2.193,0.475,27,206,Association for Computing Machinery (ACM),Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19700183047,,19466226
19700185000,ACM SIGPLAN Notices,2.17,75,626,288,60,2.174,0.435,50,206,Association for Computing Machinery (ACM),Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19700185000,15232867,
19700186738,Ad-Hoc and Sensor Wireless Networks,1.07,53,233,217,51,0.567,0.265,95,206,Old City Publishing,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19700186738,15519899,15520633
19700186817,Queue,0.59,26,76,129,22,0.912,0.339,150,206,Association for Computing Machinery (ACM),Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19700186817,15427730,15427749
19700186858,Scientific and Technical Information Processing,0.41,17,65,158,29,0.688,0.219,169,206,Pleiades Publishing,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19700186858,1476882,
19700186873,Foundations and Trends in Databases,4.83,94,29,6,83,3.79,0.743,11,206,Now Publishers Inc,Journal,NO,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/19700186873,19317883,
19700186890,Journal of Electrical Systems,0.74,37,131,177,47,0.398,0.2,129,206,Engineering and Scientific Research Groups (ESR Groups),Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19700186890,11125209,
19700186903,Recent Patents on Computer Science,0.28,9,28,99,19,0.151,0.168,186,206,Bentham Science Publishers B.V.,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19700186903,18744796,
19700188314,Pertanika Journal of Science and Technology,0.3,11,137,452,21,0.252,0.131,182,206,Universiti Putra Malaysia,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19700188314,1287680,
19700188366,Gyroscopy and Navigation,0.74,37,94,127,45,0.618,0.235,129,206,Pleiades Publishing,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19700188366,20751087,20751109
19700201308,Journal of Information Technology Research,0.53,23,31,58,40,0.352,0.132,157,206,The Information Resources Management Association (IRMA),Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19700201308,19387857,
19700201403,Global Journal of Engineering Education,1.39,63,151,109,47,2.015,0.549,76,206,World Institute for Engineering and Technology Education (WIETE),Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19700201403,13283154,
19700201422,Computer Science Education,2.63,80,113,43,63,0.785,0.415,40,206,Taylor and Francis Ltd.,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19700201422,8993408,17445175
19700201443,Engineering Applications of Computational Fluid Mechanics,2.33,78,280,120,81,1.577,0.576,45,206,Taylor and Francis Ltd.,Journal,YES,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19700201443,19942060,1997003X
19700201455,Sustainable Computing: Informatics and Systems,1.78,72,146,82,62,0.694,0.261,57,206,Elsevier USA,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19700201455,22105379,
19700201511,"Interdisciplinary Journal of Information, Knowledge, and Management",1.06,51,50,47,57,1.004,0.184,99,206,Informing Science Institute,Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19700201511,15551229,15551237
19900191719,Construction Innovation,2.26,76,192,85,72,0.768,0.707,49,206,Emerald Group Publishing Ltd.,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/19900191719,14714175,14770857
19900191737,Studies in Informatics and Control,1.49,68,218,146,62,0.634,0.327,65,206,National Institute for R & D in Informatics,Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19900191737,12201766,1841429X
19900191768,Control Engineering and Applied Informatics,0.91,46,130,143,48,0.451,0.222,110,206,Romanian Society of Control Engineering and Technical Informatics,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/19900191768,14548658,
19900191878,Infocommunications Journal,0.42,18,24,57,18,0.31,0.129,167,206,Scientific Association for Infocommunications,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19900191878,20612079,20612125
19900192513,Swarm and Evolutionary Computation,7.73,98,1144,148,91,2.841,1.278,4,206,Elsevier BV,Journal,NO,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/19900192513,22106502,
19900193654,Transactions of the Japan Society for Computational Engineering and Science,0.19,4,10,52,17,0.12,0.116,197,206,Nihon Keisan Kogakkai,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/19900193654,13478826,
19900193674,Applied Ontology,1.48,67,77,52,60,0.876,0.542,66,206,IOS Press,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/19900193674,15705838,18758533
20400195003,International Journal of Advanced Intelligence Paradigms,0.62,30,60,96,40,0.474,0.146,144,206,Inderscience Enterprises Ltd,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/20400195003,17550386,17550394
20400195011,International Journal of Autonomous and Adaptive Communications Systems,0.27,8,19,71,18,0.093,0.117,188,206,Inderscience Enterprises Ltd,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/20400195011,17548632,17548640
20500195215,Journal of Advanced Research in Dynamical and Control Systems,0.31,12,363,1161,14,0.152,0.112,179,206,Institute of Advanced Scientific Research,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/20500195215,1943023X,
20541,Computational Materials Science,2.7,82,4796,1774,77,1.082,0.812,37,206,Elsevier,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/20541,9270256,
20569,Electronic Notes in Theoretical Computer Science,0.79,39,180,229,41,0.74,0.286,125,206,Elsevier,Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/20569,15710661,
20571,Theoretical Computer Science,1.23,59,1676,1358,50,1.072,0.494,84,206,Elsevier,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/20571,3043975,
21100197345,Journal of Robotics and Mechatronics,0.85,41,251,297,48,0.72,0.29,120,206,Fuji Technology Press,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100197345,9153942,18838049
21100197510,Journal of Electrical and Computer Engineering,1.31,61,342,261,44,0.577,0.224,79,206,Hindawi Publishing Corporation,Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100197510,20900147,20900155
21100197714,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,0.4,16,135,335,21,0.468,0.217,172,206,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),Journal,YES,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/21100197714,16469895,
21100198223,International Journal of Reasoning-based Intelligent Systems,0.41,17,33,80,16,0.52,0.125,169,206,Inderscience Publishers,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/21100198223,17550556,17550564
21100198230,International Journal of Intelligent Systems Technologies and Applications,0.92,47,49,53,38,0.529,0.21,108,206,Inderscience Publishers,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100198230,17408865,17408873
21100199540,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",0.59,26,23,39,31,0.489,0.2,150,206,Accademia Peloritana dei Pericolanti,Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100199540,3650359,18251242
21100199727,Journal of Computing and Information Technology,0.85,41,76,89,44,0.851,0.178,120,206,The University of Zagreb Computing Centre (SRCE),Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100199727,13301136,18463908
21100199780,Multiagent and Grid Systems,0.62,30,33,53,30,0.365,0.167,144,206,IOS Press,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100199780,15741702,
21100199790,International Journal of Intelligent Engineering and Systems,1.03,50,241,235,52,0.592,0.187,103,206,Intelligent Networks and Systems Society,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100199790,2185310X,21853118
21100199814,Cybernetics and Information Technologies,0.84,40,207,246,41,0.595,0.215,122,206,"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences",Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100199814,13119702,13144081
21100199856,Journal of Information Technology Education:Research,1.44,66,105,73,67,0.948,0.387,70,206,Informing Science Institute,Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100199856,15479714,15393585
21100200426,Frontiers of Computer Science,1.88,73,446,237,59,1.011,0.347,54,206,Springer Science + Business Media,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100200426,20952228,20952236
21100200802,Journal of Information and Communication Technology,0.9,44,44,49,53,0.381,0.224,113,206,Universiti Utara Malaysia Press,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100200802,1675414X,21803862
21100200804,ACM Transactions on Management Information Systems,3.59,89,183,51,71,1.762,0.637,22,206,Association for Computing Machinery (ACM),Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/21100200804,2158656X,
21100201512,International Journal of Decision Support System Technology,0.67,33,32,48,52,0.3,0.164,136,206,IGI Global Publishing,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100201512,19416296,1941630X
21100201516,International Journal of Mobile and Blended Learning,1.19,58,63,53,60,0.725,0.429,86,206,IGI Global Publishing,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100201516,19418647,
21100203119,International Journal of Bio-Inspired Computation,4.0,91,460,115,77,1.615,1.03,18,206,Inderscience Publishers,Journal,NO,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/21100203119,17580366,17580374
21100208036,Foundations of Computing and Decision Sciences,0.61,29,31,51,43,0.463,0.152,146,206,Walter de Gruyter GmbH,Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100208036,8676356,23003405
21100208072,Scalable Computing,0.77,38,71,92,46,0.502,0.182,128,206,universitatea de vest,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100208072,18951767,
21100211105,Internetworking Indonesia Journal,0.44,19,24,54,24,0.492,0.122,166,206,Internetworking Indonesia,Journal,YES,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/21100211105,19429703,
21100217007,Iranian Journal of Information Processing Management,0.18,3,27,149,15,0.181,0.116,200,206,Iranian Research Institute for Information Science and Technology,Journal,YES,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/21100217007,22518223,22518231
21100217640,ACM Transactions on Reconfigurable Technology and Systems,1.53,70,133,87,59,1.012,0.223,61,206,Association for Computing Machinery (ACM),Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100217640,19367406,19367414
21100223167,Computacion y Sistemas,0.53,23,113,213,33,0.567,0.175,157,206,Centro de Investigacion en Computacion (CIC) del Instituto Politecnico Nacional (IPN),Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/21100223167,14055546,
21100224419,International Journal of Computer Science in Sport,0.71,35,24,34,41,0.462,0.355,132,206,International Association of Computer Science in Sport,Journal,YES,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100224419,16844769,
21100228019,International Journal of Embedded and Real-Time Communication Systems,1.37,62,37,27,59,0.779,0.254,77,206,IGI Global Publishing,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100228019,19473176,19473184
21100228068,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,5.23,96,298,57,89,2.593,0.928,8,206,John Wiley and Sons Inc.,Journal,NO,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/21100228068,19424787,
21100228550,Complex Systems,0.24,6,12,51,24,0.203,0.147,193,206,"Complex Systems Publications, inc.",Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/21100228550,8912513,
21100236814,Ubiquitous Learning,0.31,12,11,35,14,0.363,0.137,179,206,Common Ground Research Networks,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/21100236814,18359795,
21100241217,International Journal of Information Technologies and Systems Approach,0.8,40,24,30,37,0.859,0.184,124,206,IGI Global Publishing,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100241217,1935570X,19355718
21100241779,Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science,1.44,66,234,163,45,0.63,0.543,70,206,Publishing House of the Romanian Academy,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100241779,14549069,
21100242201,Romanian Journal of Information Science and Technology,0.71,35,55,77,31,0.387,0.136,132,206,Editura Academiei Romane,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100242201,14538245,
21100242251,International Journal of Critical Computer-Based Systems,0.3,11,11,37,22,0.212,0.119,182,206,Inderscience Publishers,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/21100242251,17578779,17578787
21100242605,International Journal of Pervasive Computing and Communications,0.91,46,62,68,53,0.271,0.162,110,206,Emerald Group Publishing Ltd.,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100242605,17427371,
21100268428,Journal of ICT Research and Applications,1.05,50,60,57,39,0.504,0.133,101,206,Institut Teknologi Bandung (ITB),Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100268428,23375787,
21100301444,International Journal of Fuzzy System Applications,0.94,48,68,72,53,0.435,0.256,107,206,IGI Publishing,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/21100301444,2156177X,21561761
21100301602,Journal of Robotics,1.11,55,83,75,63,0.852,0.245,92,206,Hindawi Limited,Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100301602,16879600,16879619
21100304858,Information Technology and Tourism,2.57,79,149,58,74,1.282,0.74,42,206,Springer Science + Business Media,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/21100304858,10983058,19434294
21100358314,Human-centric Computing and Information Sciences,4.27,92,440,103,79,2.661,0.461,16,206,Springer Science + Business Media,Journal,YES,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/21100358314,,21921962
21100373959,International Journal of Electrical and Computer Engineering,1.63,71,1505,926,68,1.144,0.368,59,206,Institute of Advanced Engineering and Science (IAES),Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/21100373959,,20888708
21100374601,IEEE Access,4.96,95,19331,3899,84,1.718,0.609,10,206,Institute of Electrical and Electronics Engineers Inc.,Journal,YES,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/21100374601,21693536,
21100389724,Journal of King Saud University - Computer and Information Sciences,3.12,86,431,138,70,1.897,0.433,29,206,King Saud University,Journal,YES,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/21100389724,13191578,22131248
